SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
37,"b'SOJXVAH12A8C139700'",244586,"b'Piouhgd + Widowermaker!'","b'ARPQ4Z01187FB3A736'",29.42449,"b'San Antonio TX'",-98.49462,"b'Butthole Surfers'",0.0,450.84689,4,0.726,130.586,4,0.42,"b'Barking Dogs (From "Piouhgd")'",0
38,"b'SOVXMTN12A8C135A18'",157648,"b'Profities'","b'ARNQAVF11F4C844C04'",,"b''",,"b'Despina Vandi'",0.0,303.09832,8,0.532,128.292,4,0.83,"b'OUTE ENA EFHARISTO'",0
39,"b'SORSECL12AB0182267'",644631,"b'Cracks'","b'ARXUT4W1187FB48BEB'",,"b''",,"b'Javier Navarrete'",0.0,128.83546,3,0.0,90.932,3,1.0,"b'Midnight Swim'",0
40,"b'SOOGFBZ12AC3DF7FF2'",730551,"b'Pieces Of Time'","b'ARDD1RC1187B9B52B4'",,"b''",,"b'Jacob Young'",0.0,456.30649,1,0.611,89.667,4,0.747,"b'In A Subtle Way'",0
41,"b'SOMSBGZ12AB018C4CB'",709879,"b'The Palest Grey'","b'ARLGWFM1187FB4AC9F'",34.05349,"b'California - LA'",-118.24532,"b"Scarlet's Remains"",0.0,198.73914,7,0.673,115.061,4,0.731,"b'Spin'",2007
42,"b'SONYRZV12AB018AF70'",706005,"b'A Match & Some Gasoline'","b'ARWYVP51187B98C516'",42.33168,"b'Detroit MI'",-83.04792,"b'The Suicide Machines'",0.0,95.68608,2,0.421,115.887,4,0.744,"b'Burning In The Aftermath'",2003
43,"b'SONQBUB12A6D4F8ED0'",42595,"b"Jump Back - The Best Of The Rolling Stones_ '71-'93"","b'ARFCUN31187B9AD578'",51.50632,"b'London England'",-0.12714,"b'The Rolling Stones'",0.0,271.49016,9,0.301,139.333,1,0.0,"b'Angie (1993 Digital Remaster)'",0
44,"b'SOHGKJW12AC468A8BD'",782470,"b'Lo Mejor con La Orq. Broadway'","b'AR6YDKV1187B989230'",,"b''",,"b'Roberto Torres'",0.0,226.66404,0,0.863,117.271,4,0.453,"b'Sabor Guajiro'",0
45,"b'SOINBCU12A6D4F94C0'",28723,"b'Grown Man'","b'ARV1JVD1187B9AD195'",35.91463,"b'Chapel Hill NC'",-79.05661,"b'Loudon Wainwright III'",0.0,190.48444,3,0.544,102.428,4,0.496,"b'Human Cannonball'",1995
46,"b'SOTWVQT12A58A79650'",557761,"b'A Bothered Mind'","b'AR7TTS41187B9B42D3'",34.36401,"b'Oxford MS'",-89.51877,"b'R.L. Burnside'",0.0,277.78567,2,0.0,89.984,4,0.0,"b'Glory Be'",2004
47,"b'SOTSEJY12AB0180F56'",417945,"b'Greatest Hits'","b'ART3O5Z1187B9AB043'",32.77815,"b'Dallas TX'",-96.7954,"b'Stevie Ray Vaughan'",0.0,248.78975,1,0.754,116.721,4,0.522,"b'Crossfire'",1992
48,"b'SOTSETT12AB01863B8'",575531,"b'Bluesman'","b'AR5U94U1187FB5CDCF'",,"b''",,"b'John Hammond'",0.0,195.3171,7,0.98,123.142,4,0.678,"b"I Can't Be Satisfied"",2002
49,"b'SOTUNMH12A6D4FA3E6'",234425,"b'Etiquette'","b'ARRJNTE1187FB44E12'",,"b''",,"b'Casiotone For The Painfully Alone'",0.0,175.72526,0,0.522,141.919,4,0.445,"b'Nashville Parthenon'",2006
50,"b'SOEPPKB12AB018418B'",505301,"b'Ec8or'","b'AR6IRG41187B9A4D98'",52.51607,"b'Berlin Germany'",13.37698,"b'Ec8or'",0.0,217.23383,10,0.005,95.596,4,1.0,"b'Cocain Ducks'",1995
51,"b'SOGKIWV12A6D4F86C4'",74655,"b'Too Much Too Soon'","b'ARS1OWB1187B99EEAD'",,"b'New York NY'",,"b'The New York Dolls'",0.0,344.05832,11,0.425,154.953,1,0.0,"b'Human Being'",1974
52,"b'SOPHYIS12AAF3B35A3'",322532,"b'Bossa Nova Stories'","b'ARGMXQW1187FB54C34'",-23.56287,"b'Sao Paulo Brazil'",-46.65466,"b'Eliane Elias'",0.0,251.42812,7,0.391,86.091,5,0.551,"b'The More I See You'",2009
53,"b'SOFHBAR12A6701D0FE'",14592,"b'Love_ Peace & Nappiness'","b'AROEL1B1187B988B90'",,"b'South Jamaica Queens'",,"b'Lost Boyz'",0.0,269.7922,7,0.715,90.218,4,1.0,"b'Certain Things We Do'",1997
54,"b'SOCPRKM12AB018A2FD'",515081,"b'Germicide'","b'AR8W8DN1187FB35ED0'",34.05349,"b'Los Angeles CA'",-118.24532,"b'The Germs'",0.0,206.05342,11,0.641,133.144,1,0.0,"b'Forming'",1977
55,"b'SOFGHAM12AB0186412'",765750,"b'Mafu\xc3\xa1'","b'ARUWLCL1187FB549B8'",,"b''",,"b'Yamandu Costa'",0.0,190.04036,2,0.105,205.317,4,0.0,"b'Mafu\xc3\xa1'",0
56,"b'SODHVES12A6701CE6B'",17220,"b'The Road To Hell Part 2'","b'AR3793X1187FB50CB3'",,"b'Middlesbrough England'",,"b'Chris Rea'",0.0,241.162,9,0.222,180.149,4,0.0,"b'Driving Home For Christmas'",1986
57,"b'SOXIATP12AAF3B2184'",617077,"b'Vanguard Visionaries'","b'ARINEWW1187FB5577E'",,"b''",,"b'Perrey And Kingsley'",0.0,122.64444,0,0.61,102.538,4,0.869,"b'Spooks In Space'",1966
58,"b'SOGNQWU12A8AE4868F'",278999,"b'Be Yourself Tonight'","b'ARDGB6U1187FB3AD07'",51.50632,"b'London England'",-0.12714,"b'Eurythmics'",0.0,207.0722,0,0.442,84.164,4,0.853,"b'Tous Les Gar\xc3\xa7ons Et Les Filles'",1985
59,"b'SOYQOFI12A6D4F76E1'",19601,"b'Hometown 2001'","b'AR2J2WF1187FB46271'",54.48303,"b'Egremont Cumbria England'",-3.53444,"b'Francis Dunnery'",0.0,300.79955,7,0.666,124.175,4,0.698,"b'Too Much Saturn'",1995
60,"b'SOVOLGY12A6D4F822B'",38599,"b'Eat / Kiss: Music For The Films By Andy Warhol'","b'ARUI8651187B9ACF52'",,"b'Garnant Wales'",,"b'John Cale'",0.0,228.46649,7,0.458,137.004,1,0.0,"b'Movement 4 [from Kiss] (Album Version)'",1997
61,"b'SOMZCVH12AB0182B8E'",619882,"b'The Ultimate Most Relaxing New Age Piano in the Universe'","b'AR89DTT1187B9A7ED5'",37.77916,"b'California - SF'",-122.42005,"b'Suzanne Ciani'",0.0,239.59465,7,0.527,106.33,4,0.526,"b'Stream'",0
62,"b'SONXJBL12AAF3B2C0C'",618615,"b'Classic Gold: Best of All'","b'ARMD0G81187B99A519'",,"b''",,"b'Vickie Winans'",0.0,228.93669,11,0.172,107.961,4,1.0,"b'Make Me Over'",0
63,"b'SOYWZTU12AB0180E26'",681639,"b'The Berzerker'","b'AR0VZWC1187B99BA57'",-37.81753,"b'Melbourne Australia'",144.96715,"b'The Berzerker'",0.0,165.61587,1,0.108,174.287,3,0.132,"b'Deform (live)'",2000
64,"b'SOLGHDZ12AB0183B11'",449471,"b'Holy Roller Novocaine'","b'ARF2EHS1187B994F4E'",36.16778,"b'Nashville Tennessee'",-86.77836,"b'Kings Of Leon'",0.0,187.92444,0,0.612,116.823,4,0.347,"b'Wicker Chair'",2003
65,"b'SOTNTNJ12AAA15FBD6'",321356,"b'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)'","b'ARZKRD01187FB45FD2'",,"b''",,"b'Edith Lefel'",0.0,276.50567,0,0.29,101.972,4,1.0,"b"An ti chans'"",0
66,"b'SOXZXXV12AAF3B3A67'",530141,"b'I Will Love Again'","b'ARK4H5K1187B992F74'",,"b''",,"b'Taras'",0.0,200.25424,11,0.056,127.97,4,0.0,"b"I Will Love Again (JJ's Club Radio)"",0
67,"b'SOPIKEG12A58291636'",104765,"b'White Trash ......'","b'AR06EB01187FB40150'",,"b'Berkeley CA'",,"b'NOFX'",0.0,144.50893,4,0.093,152.622,4,0.358,"b'Stickin In My Eye'",1992
68,"b'SOIRNBO12AC468D207'",695158,"b'Murskapunkkia'","b'ARKPDBH1242077DEB1'",,"b''",,"b'Murskahumppa'",0.0,285.17832,7,0.379,110.787,3,1.0,"b'Ota kiinni'",0
69,"b'SOSBDSF12AB0189007'",509770,"b'Canci\xc3\xb3n Animal'","b'ARBJSO81187B9BA09B'",,"b''",,"b'Soda Stereo'",0.0,246.69995,7,0.161,112.903,4,1.0,"b'Entre Can\xc3\xadbales'",1990
70,"b'SOIJXXM12A8C1416D6'",223779,"b'The Man from Snowy River'","b'ARRC2JF1187B9B6A93'",-24.9162,"b'AUSTRALIA'",133.39311,"b'Bruce Rowland'",0.0,84.03546,7,0.469,115.642,4,0.44,"b'Rosemary Recalls'",1985
71,"b'SOHMMMC12AB0181C42'",466577,"b'One World One People'","b'ARNIFX51187FB418EA'",,"b''",,"b'Xcultures'",0.0,273.52771,1,0.652,125.013,4,1.0,"b'Sudanese Dance'",2000
72,"b'SOVJXVJ12A8C13517D'",148547,"b'Tales Of Wonder'","b'ARCCRTI11F4C845308'",,"b''",,"b'White Heart'",0.0,298.84036,5,0.596,113.277,4,0.872,"b'Where The Thunder Roars (Tales Of Wonder Album Version)'",0
73,"b'SOFZCTA12AB0188D8F'",423012,"b'Waterbed Hev'","b'ARNVH8S1187FB52F86'",18.11526,"b'Jamaica West Indies'",-77.27348,"b'Heavy D / McGruff'",0.0,161.38404,5,0.665,96.979,4,0.895,"b'Wanna Be A Player'",1997
74,"b'SOLRYQR12A670215BF'",7133,"b'The Best Of Both Worlds'","b'ARNLO5S1187B9B80CC'",,"b'Pasadena CA'",,"b'Van Halen'",0.0,209.29261,8,0.455,140.995,1,0.41,"b'Panama (Remastered Album Version)'",0
75,"b'SOCHRXB12A8AE48069'",358442,"b'Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness'","b'ARTDQRC1187FB4EFD4'",,"b'Los Angeles CA'",,"b'Black Eyed Peas'",0.0,229.61587,11,0.205,105.206,4,1.0,"b"Let's Get It Started"",2004
76,"b'SOKBBXO12A6701DEA0'",15567,"b'Things Falling Apart'","b'ARK9TRQ1187B99C095'",41.50471,"b'Cleveland OH'",-81.69074,"b'Nine Inch Nails'",0.0,426.89261,0,0.05,63.017,4,0.378,"b'Metal'",2000
77,"b'SOWHYUG12A58A77FAB'",413222,"b'Your Funeral... My Trial (2009 Digital Remaster)'","b'ARODBRG1187FB3FD99'",,"b''",,"b'Nick Cave & The Bad Seeds'",0.0,269.26975,9,0.052,144.603,4,0.0,"b'She Fell Away (2009 Digital Remaster)'",0
78,"b'SOYSTDI12A6D4F6500'",80578,"b'Oasis of Love'","b'ARMBYRO1187FB57419'",,"b''",,"b'Nadine Renee'",0.0,249.41669,2,0.883,167.92,4,0.75,"b'Next Time'",0
79,"b'SOOOROX12A6D4F8400'",26902,"b"60's Triple set"","b'ARWY7I71187FB36C3D'",40.71455,"b'New York NY'",-74.00712,"b'Lesley Gore'",0.0,136.48934,9,0.386,129.122,1,0.0,"b"It's My Party"",1963
80,"b'SONSPZE12AB01819CE'",633532,"b'Yeah.  Well_ Anyway....'","b'AR6Y22S1187B99906F'",,"b''",,"b'Smartbomb'",0.0,233.27302,0,0.53,132.022,4,0.782,"b'Complicate It'",2001
81,"b'SOHWGFU12AB017B036'",435830,"b'Un Titre de Toune'","b'ARI5P4N1187FB3F44D'",,"b'Minnesota'",,"b'Suburbs'",0.0,187.24526,1,0.842,183.92,1,0.063,"b'Monde De Fou'",2005
82,"b'SOQQVQJ12AB0185192'",495734,"b'Live Inferno'","b'ARYPWUK1187B98ACED'",64.55653,"b'Norway'",12.66538,"b'Emperor'",0.0,72.61995,9,0.0,89.867,4,0.476,"b'Opus a Satana (Part 2)'",0
83,"b'SODRHHD12AB0189F2A'",664484,"b'Vendredi 13 - 1981'","b'ARW63KF1187B98AC48'",46.71067,"b'FR'",1.71819,"b'Julien Clerc'",0.0,272.63955,2,0.633,119.896,5,0.921,"b'This Melody (Live)'",0
84,"b'SOQGFVO12A8C13C8C3'",112851,"b'Unconditional Love'","b'AR8H87D1187FB3A841'",34.03142,"b'Delight AR'",-93.50243,"b'Glen Campbell'",0.0,142.75873,1,0.62,137.29,4,0.0,"b"I'm Gone This Time"",0
85,"b'SORABMD12A8C136672'",200689,"b'The Very Best Of'","b'ARLWR721187B9A03C9'",35.82213,"b'Humboldt TN'",-88.91599,"b'T.G. Sheppard'",0.0,194.11546,5,1.0,82.343,1,0.387,"b'You Feel Good All Over'",2002
86,"b'SOTUBVH12AB018D2EC'",682725,"b'Country Lovers. Vol. 3'","b'ARF4V431187FB3AA41'",27.94653,"b'Tampa FL'",-82.45927,"b'Slim Whitman'",0.0,195.91791,3,0.883,91.487,4,0.0,"b'Indian Love Call'",1990
87,"b'SOMQAGT12A8C132DB4'",287804,"b'Affirmation'","b'ARBGWMW1187B9AEA3E'",,"b'CA'",,"b'Savage Garden'",0.0,118.33424,9,0.0,84.69,5,0.678,"b'You Can Still Be Free'",1999
88,"b'SOKLLOH12A67020F2C'",220917,"b'Lullabies To Paralyze'","b'AR6G4V01187B9AD086'",,"b''",,"b'Queens Of The Stone Age'",0.0,288.41751,2,0.08,115.606,4,0.0,"b'I Never Came'",2005
89,"b'SONRLQH12AB017C232'",629785,"b"It's War Again"","b'ARVQ4QM1187B98AD95'",33.52029,"b'Birmingham AL'",-86.8115,"b'Hank Penny & The Lincoln Penny Orchestra'",0.0,123.21914,7,0.278,126.523,1,0.0,"b'Dixie'",0
90,"b'SODDZAD12A6701DC4C'",11305,"b'The Singles'","b'AR9AM2N1187B9AD2F1'",53.4796,"b'Manchester England'",-2.24881,"b'Inspiral Carpets'",0.0,283.76771,2,0.823,113.677,4,1.0,"b'Commercial Reign'",1990
91,"b'SORENXV12A6701F61F'",4967,"b'What You Thought You Heard'","b'AR9XEVF1187B99D017'",,"b''",,"b'Borialis'",0.0,239.3073,2,0.569,86.938,4,0.222,"b'Hourglass'",0
92,"b'SOYMMDY12AB01825B2'",325335,"b"Daddy Don't Disco"","b'ARCFOZ71187FB43A0D'",,"b''",,"b'The Dirty Skirts'",0.0,206.75873,0,0.613,141.936,4,0.634,"b'Wake'",0
93,"b'SOJWQIP12A6D4F710A'",82932,"b'15 Exitos Vol. 2 Flor Silvestre'","b'ARHFEBO11F50C4825A'",,"b''",,"b'Flor Silvestre'",0.0,134.81751,11,0.847,106.049,1,0.0,"b'Caricia Y Herida'",0
94,"b'SOOVOKS12AB017EE57'",401583,"b'Le top du p\xc3\xa8re N\xc3\xb6el'","b'AR107SB1187B9A79F9'",,"b'B\xc3\xa9zu comme Superdupont ne connait qu&#039;un pays : la France !'",,"b'B\xc3\xa9zu'",0.0,285.64853,8,0.508,126.88,4,0.0,"b'Le tortillard'",0
95,"b'SORWHWY12A6702038E'",8552,"b'Malpractice'","b'ARXWAQQ1187B9AE954'",,"b'Newark NJ'",,"b'Redman'",0.0,124.18567,1,0.074,85.008,5,1.0,"b'WKYA (drop)'",2001
96,"b'SOGYYLE12A8C13E5EA'",217058,"b'20 Suosikkia / Rilluttele y\xc3\xb6'","b'ARL6XZC1187FB3936E'",,"b''",,"b'Solistiyhtye Suomi'",0.0,134.08608,4,0.718,133.699,1,0.0,"b'Ter\xc3\xa4slintu'",0
97,"b'SOITUXQ12AB0183AE9'",489673,"b'The Fabulous Eddie Cantor'","b'ARSDSMG1187B98CB59'",40.71455,"b'New York NY'",-74.00712,"b'Eddie Cantor'",0.0,155.61098,11,0.599,118.975,1,0.003,"b"Now's The Time To Fall In Love"",0
98,"b'SOTWEZZ12A8C142B60'",475992,"b'Grim Prospects Remixes - Grim Prospects Will Never End'","b'AR3WMW01187B9921F7'",,"b''",,"b'Schizoid'",0.0,275.40853,9,0.376,102.408,4,0.395,"b'Grim Prospects (Gross Prospects - Bad Trip Remix)'",0
99,"b'SOUVRGZ12A58A77F90'",495041,"b'The Incredible Kai Winding Trombones'","b'AR3C3C01187B98E800'",56.153,"b'Aarhus Denmark'",10.20452,"b'Kai Winding'",0.0,223.4771,0,0.0,112.006,4,0.844,"b'Mangos'",1961
100,"b'SOBLTSM12A6D4F9EEA'",225610,"b'Staying on the Watch'","b'ARDD9UN1187B98D3A7'",31.84666,"b'Sicily Island LA'",-91.657,"b'Sonny Simmons'",0.0,443.24526,1,0.0,45.527,4,0.0,"b'A Distant Voice'",0
101,"b'SOUQVUD12A8C142DCE'",473710,"b'Openbare Weg'","b'ARJGNV61187B98F3B5'",,"b'Tallahassee FL'",,"b'Mira'",0.0,177.81506,4,0.695,85.621,4,0.612,"b'Openbare Weg'",2006
102,"b'SOCRPDR12AB0185B75'",710902,"b'Tip World Singles 2000'","b'ARSVI4L1187B996181'",,"b''",,"b'Citizen Kaned'",0.0,385.33179,8,0.822,108.061,4,1.0,"b'President Johnson'",2000
103,"b'SOXVBVL12AF72A600C'",341940,"b'Praise Him...Live!'","b'ARVJ0JK1187B98C9C0'",,"b''",,"b'The Brooklyn Tabernacle Choir'",0.0,324.44036,7,0.558,216.195,5,1.0,"b'Lead Me Lord'",1995
104,"b'SOIQHDR12AB01896C8'",766444,"b'Spontanous Combustion'","b'AR4PCIG1187B98D07D'",36.16778,"b'Nashville TN'",-86.77836,"b'Ellen McIlwaine'",0.0,275.12118,7,0.699,132.428,4,0.281,"b'Spontanous Combustion'",0
105,"b'SODLSHA12AAF3B29F2'",432406,"b'From All Sides'","b'AR1RHCO1187B9AF0BF'",37.77916,"b'San Francisco CA'",-122.42005,"b'Vince Guaraldi / Bola Sete'",0.0,294.66077,5,0.238,168.307,4,0.0,"b'Choro'",0
106,"b'SOAGHMH12AB0180285'",546663,"b'Maurice Chevalier  The Essential Collection Vol 1'","b'AR1X2H01187B98CCF2'",,"b'Menilmontant France'",,"b'Maurice Chevalier'",0.0,193.20118,0,0.371,140.956,7,0.866,"b'Ma Louise'",0
107,"b'SORAVUP12AB018556E'",548374,"b'Dave Pearce Best of the Dance Years 1988 - 1992'","b'ARBQBZV1187B99D29E'",,"b''",,"b'Carl Cox Vs Yousef'",0.0,357.82485,1,0.485,130.016,5,1.0,"b'I Want You (Forever)'",1991
108,"b'SOFXNQP12AB0184F1A'",704183,"b'The Equinox'","b'AR9ODB41187FB459B2'",,"b'SPRINGFIELD Virginia'",,"b'Organized Konfusion'",0.0,198.3473,11,0.306,175.769,4,0.7,"b'Hate'",1997
